id.orig_p,id.resp_p,proto,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,id.orig_h,id.resp_h
55077,2019,tcp,S0,-0.01809594,S,0.95078033,54.407032,0.106300995,4.705254,192.168.100.103,68.125.75.94
41863,10333,tcp,S0,0.061849706,ShA,2.8844635,171.11514,0.033745788,0.7361183,192.168.100.103,114.80.199.144
41707,11276,udp,S0,-0.0017862357,D,1.0724373,37.13007,0.02094251,-0.043214798,192.168.100.103,112.20.199.87
43240,35617,udp,S0,0.007636577,D,1.0866717,40.51339,-0.05774191,-1.1855946,192.168.100.103,167.63.181.198
41925,19424,udp,S0,-0.0031191185,D,1.0671217,37.72735,-0.0016866475,-1.7144375,192.168.100.103,130.40.197.126
35252,10462,tcp,S0,-0.0037902743,ShADFadfRR,2.9854612,185.26001,0.3743059,2.5096035,192.168.100.103,-2.113.200.193
41094,5005,udp,S0,0.005710936,D,0.9343284,31.078037,0.04844489,5.6613655,192.168.100.103,93.2.206.40
56620,3583,tcp,S0,-0.019041702,S,0.9309311,53.422585,0.15122408,8.369062,192.168.100.103,60.140.46.87
43062,38659,udp,S0,0.013326909,D,1.1000476,41.891808,-0.06459549,-1.1355553,192.168.100.103,175.59.183.214
39211,11276,tcp,S0,0.02712997,ShA,2.9660277,180.42871,0.1536153,-2.7864714,192.168.100.103,68.101.189.150
39597,10608,tcp,S0,0.03570675,ShA,2.9888258,181.71448,0.126004,-2.4691849,192.168.100.103,82.98.190.146
41112,10713,tcp,S0,0.05648516,ShA,2.9090755,173.70987,0.07442582,0.79028034,192.168.100.103,107.88.197.148
40507,10501,tcp,S0,0.050535448,ShA,2.9626553,178.1637,0.095065355,-0.022867203,192.168.100.103,101.92.194.146
54772,1780,tcp,S0,-0.019506019,S,0.9528959,54.384422,0.09886724,3.2967415,192.168.100.103,67.122.88.100
42218,24294,udp,S0,-0.002274245,D,1.0610075,37.704754,-0.019627988,-2.2530985,192.168.100.103,136.46.197.141
41881,11180,udp,S0,-0.002939161,D,1.0747696,37.056053,0.023882344,-0.20448303,192.168.100.103,111.20.197.84
55123,0,tcp,S0,-0.020926613,S,0.951203,52.715256,0.10093324,0.80980873,192.168.100.103,60.92.102.96
42880,36873,udp,S0,0.019966893,D,1.1599652,42.204994,-0.04035993,-4.443638,192.168.100.103,160.73.190.191
57255,4850,tcp,S0,-0.018954504,S,0.8903057,51.477455,0.16660365,10.087274,192.168.100.103,55.143.36.86
43016,39561,udp,S0,0.013094246,D,1.1305829,42.477863,-0.04804507,-3.183382,192.168.100.103,170.65.185.209
55488,0,tcp,S0,-0.020543814,S,0.94612426,51.93589,0.094676115,-0.16285229,192.168.100.103,62.85.97.92
55290,2077,tcp,S0,-0.018573567,S,0.95032847,54.428688,0.1117056,5.245262,192.168.100.103,68.127.67.90
54604,802,tcp,S0,-0.025311552,S,0.93838674,52.821236,0.09926353,1.7207232,192.168.100.103,59.107.105.105
42529,29284,udp,S0,0.0028024465,D,1.0802906,39.883694,-0.04998164,-1.7192965,192.168.100.103,149.49.193.169
35124,10332,tcp,S0,-0.0059815943,ShA,3.001562,186.64624,0.3780925,2.0288658,192.168.100.103,-2.114.199.191
55060,0,tcp,S0,-0.020971034,S,0.95341194,52.81208,0.10206616,0.91024876,192.168.100.103,60.92.102.96
54890,175,tcp,S0,-0.021919794,S,0.9387994,52.37975,0.09814237,1.2004452,192.168.100.103,59.98.102.101
43047,37958,udp,S0,0.016070936,D^,1.1682487,43.06088,-0.031392246,-4.218814,192.168.100.103,164.70.186.198
33800,11208,tcp,S0,-0.014669433,ShADFadfRR,2.9969194,188.25554,0.45496926,4.7348423,192.168.100.103,-23.118.204.209
55959,0,tcp,S0,-0.02147806,S,0.9475418,51.36216,0.082332626,-1.3221731,192.168.100.103,64.76.93.85
39808,10667,tcp,S0,0.03964007,ShA,2.9768736,180.61072,0.11906321,-1.735466,192.168.100.103,86.97.191.148
41688,19171,udp,S0,-0.0021305904,D,1.0606271,37.545223,-0.0062318295,-1.553525,192.168.100.103,130.38.200.127
43397,38225,udp,S0,0.011229973,D,1.1069965,41.903976,-0.05437781,-0.81811714,192.168.100.103,173.62.178.209
54739,1734,tcp,S0,-0.019030306,S,0.955243,54.405853,0.09934756,3.3736272,192.168.100.103,67.122.88.99
42703,39012,udp,S0,0.015597325,D,1.1329845,41.377415,-0.04998009,-3.7120914,192.168.100.103,166.67.189.205
55026,1993,tcp,S0,-0.01784357,S,0.9514923,54.412132,0.10542878,4.617921,192.168.100.103,68.125.76.95
42333,27298,udp,S0,0.0004470572,D,1.0698774,38.828987,-0.039793283,-1.9372683,192.168.100.103,143.46.198.156
42591,37414,udp,S0,0.019351345,D,1.1317993,40.487988,-0.0486093,-4.737176,192.168.100.103,160.72.192.194
54908,1942,tcp,S0,-0.017722711,S,0.95201147,54.410194,0.10308335,4.299836,192.168.100.103,68.124.80.97
54812,336,tcp,S0,-0.022584997,S,0.9356308,52.325367,0.0981675,1.3462353,192.168.100.103,59.100.102.102
55597,0,tcp,S0,-0.020710286,S,0.9437634,51.709793,0.09208365,-0.4599228,192.168.100.103,62.83.96.90
43229,35250,udp,S0,0.006908197,D,1.0854611,40.388233,-0.05745566,-1.2459307,192.168.100.103,165.63.181.196
55603,2317,tcp,S0,-0.019216023,S,0.9537117,54.737007,0.120854884,5.8551507,192.168.100.103,66.130.61.89
